long,lat,group,order,region,subregion,median_violations,median_population,median_facilities,median_visits,epa_region,violations_per_facilities,violations_per_person
-72.530731201171875,41.258689880371094,6,1309,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.5822982788086,41.258689880371094,6,1310,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.62813568115234,41.27014923095703,6,1311,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.65104675292969,41.27014923095703,6,1312,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.67969512939453,41.27014923095703,6,1313,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.7026138305664,41.258689880371094,6,1314,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.73126220703125,41.258689880371094,6,1315,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.78282928466797,41.258689880371094,6,1316,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.82293701171875,41.258689880371094,6,1317,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.8687744140625,41.25296401977539,6,1318,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.89742279052734,41.247230529785156,6,1319,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.91461181640625,41.298797607421875,6,1320,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.94898986816406,41.298797607421875,6,1321,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.9719009399414,41.258689880371094,6,1322,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.98909759521484,41.230045318603516,6,1323,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.023468017578125,41.201393127441406,6,1324,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.069305419921875,41.19566345214844,6,1325,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.09795379638672,41.184207916259766,6,1326,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.10941314697266,41.17274475097656,6,1327,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.115142822265625,41.155555725097656,6,1328,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.12660217285156,41.144100189208984,6,1329,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.14952087402344,41.144100189208984,6,1330,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.18389892578125,41.16128921508789,6,1331,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.2125473022461,41.16128921508789,6,1332,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
