"PWS ID","PWS Name","EPA Region","Primacy Agency","PWS Type","Population Served Count","Cities Served","Counties Served","# of Facilities","# of Violations","# of Site Visits","Primary Source","Zip Code","City Name"
"LA2085087","R R & L PARK","Region 6","Louisiana","Transient non-community system","35","-","Sabine Parish","7","4","3","Ground water","71409","BOYCE"
"LA2019146","BIG LAKE RV PARK WATER SYSTEM","Region 6","Louisiana","Transient non-community system","150","-","Calcasieu Parish","4","0","7","Ground water","70605","LAKE CHARLES"
"LA1019105","QUAIL RIDGE ESTATES WATER SYSTEM","Region 6","Louisiana","Community water system","1,119","-","Calcasieu Parish","12","9","21","Ground water","85016","PHOENIX"
"LA2061003","ARDAGH GLASS WATER SYSTEM","Region 6","Louisiana","Non-Transient non-community system","480","-","Lincoln Parish","8","11","20","Ground water","71237","RUSTON"
"LA2055094","ACADIAN HEALTH SERVICE WATER SYSTEM","Region 6","Louisiana","Transient non-community system","25","-","Lafayette Parish","4","1","6","Ground water","70592","YOUNGSVILLE"
"LA1079005","TOWN OF CHENEYVILLE WATER SYSTEM","Region 6","Louisiana","Community water system","1,531","-","Rapides Parish","13","17","15","Ground water","71325","CHENEYVILLE"
"LA1115071","VERNON PARISH WATER AND SEWER COMMISSION","Region 6","Louisiana","Community water system","4,824","-","Vernon Parish","11","11","15","Ground water","71461","NEW LLANO"
"LA1115090","SANDY HILL WATER & SEWER","Region 6","Louisiana","Community water system","600","-","Vernon Parish","7","19","16","Ground water","71446","LEESVILLE"
"LA2103397","BOASSO INDUSTRIES,LLC","Region 6","Louisiana","Non-Transient non-community system","43","-","St. Tammany Parish","3","6","7","Ground water","70452","PEARL RIVER"
"LA1123006","OAK GROVE WATER SYSTEM","Region 6","Louisiana","Community water system","3,102","-","West Carroll Parish","15","14","30","Ground water","71263","OAK GROVE"
"LA1067009","MER ROUGE WATER SYSTEM","Region 6","Louisiana","Community water system","1,098","-","Morehouse Parish","10","2","23","Ground water","71261-0238","MER ROUGE"
"LA1037008","TOWN OF SLAUGHTER WATER SYSTEM","Region 6","Louisiana","Community water system","1,920","-","East Feliciana Parish","9","5","13","Ground water","70777","SLAUGHTER"
"LA2103297","EURO INN","Region 6","Louisiana","Transient non-community system","100","-","St. Tammany Parish","4","4","5","Ground water","70461","SLIDELL"
"LA1015041","BELLEVUE WATER SYSTEM","Region 6","Louisiana","Community water system","1,275","-","Bossier Parish","8","20","9","Ground water","71037","HAUGHTON"
"LA2103513","INSTA-GATOR RANCH","Region 6","Louisiana","Transient non-community system","40","-","St. Tammany Parish","4","2","1","Ground water","70434","COVINGTON"
"LA1049036","MT MORIAH WATER SYSTEM","Region 6","Louisiana","Community water system","78","-","Jackson Parish","2","4","5","Ground water purchased","70471","MANDEVILLE"
"LA1103130","UTILITIES INC - GREEN BRIER WATER SUPPLY","Region 6","Louisiana","Community water system","2,250","-","St. Tammany Parish","9","11","9","Ground water","70471","MANDEVILLE"
